Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
17	mike363	1556582523.964	   926.519	0	28	0	0	sh run_mapping.sh input/16.in 16
65	mike363	1556582524.270	   958.428	0	27	0	0	sh run_mapping.sh input/64.in 64
127	mike468	1556582524.825	   980.685	0	28	0	0	sh run_mapping.sh input/126.in 126
113	mike363	1556582524.680	   985.727	0	28	0	0	sh run_mapping.sh input/112.in 112
20	mike465	1556582523.983	   997.338	0	28	0	0	sh run_mapping.sh input/19.in 19
12	mike465	1556582523.938	  1119.200	0	28	0	0	sh run_mapping.sh input/11.in 11
95	mike468	1556582524.512	  1634.343	0	28	0	0	sh run_mapping.sh input/94.in 94
27	mike458	1556582524.026	  1787.134	0	27	0	0	sh run_mapping.sh input/26.in 26
21	mike464	1556582523.989	  2079.462	0	28	0	0	sh run_mapping.sh input/20.in 20
23	mike468	1556582524.001	  2346.889	0	28	0	0	sh run_mapping.sh input/22.in 22
109	mike464	1556582524.644	  2376.335	0	28	0	0	sh run_mapping.sh input/108.in 108
119	mike468	1556582524.746	  2526.829	0	28	0	0	sh run_mapping.sh input/118.in 118
110	mike466	1556582524.652	  2746.929	0	28	0	0	sh run_mapping.sh input/109.in 109
